SAMPLE_ID,식품명,식품상세분류,1회제공량,에너지(㎉),수분(g),단백질(g),지방(g),탄수화물(g),총당류(g),총 식이섬유(g),칼슘(㎎),철(㎎),마그네슘(㎎),인(㎎),칼륨(㎎),나트륨(㎎),아연(㎎),구리(㎎),망간(㎎),셀레늄(㎍)
R000810-ZZ-AVG,"배추, 봄 재배, 삶은것",채소류,100,14,95.3,1.39,0.12,2.61,0.85,1.7,52,0.34,12,44,200,8,0.24,0.004,0.227,0
R000811-ZZ-AVG,"배추, 봄 재배, 염절임",채소류,100,15,93,1.63,0.09,2.89,1.44,2.5,61,0.36,25,58,393,496,0.3,0.007,0.181,4.36
R000812-ZZ-AVG,"배추, 여름 재배, 생것",채소류,100,17,94.5,0.9,0.02,3.99,1.99,1,60,0.25,12,34,222,3,0.2,0.014,0.099,0.87
R000813-ZZ-AVG,"배추, 여름 재배, 삶은것",채소류,100,17,94.9,0.85,0.23,3.53,1.01,2.8,94,0.33,11,30,144,3,0.18,0.006,0.12,0.34
R000814-ZZ-AVG,"배추, 여름 재배, 염절임",채소류,100,17,92.6,1.03,0.05,4.04,2.26,2.1,53,0.28,21,39,272,606,0.21,0.01,0.083,4.51
R000815-ZZ-AVG,"배추, 가을 재배, 생것",채소류,100,15,94.8,1.25,0.05,3.35,2.33,2,42,0.24,12,35,220,11,0.36,0.012,0.239,0.58
R000816-ZZ-AVG,"배추, 가을 재배, 삶은것",채소류,100,14,95.3,1.25,0.06,2.94,1.55,1.6,69,0.27,12,30,131,9,0.28,0.009,0.268,0.47
R000817-ZZ-AVG,"배추, 가을 재배, 염절임",채소류,100,18,93.3,1.35,0.06,3.9,2.55,1.5,57,0.26,21,40,264,359,0.39,0.012,0.196,1.91
R000818-ZZ-AVG,"배추, 싹, 생것",채소류,100,63,86.3,3.4,4.3,5.3,-,4.3,61,1.1,-,150,123,8,-,-,-,-
R000819-ZZ-AVG,"배추, 노랑봄배추(노지), 생것",채소류,100,13,95.5,1,-,3,-,-,24,0.5,-,22,108,9,-,-,-,-
R000820-ZZ-AVG,"배추, 노랑봄배추(노지), 데친것",채소류,100,17,94.6,1.2,-,3.9,-,-,39,1,-,25,94,12,-,-,-,-
R000821-ZZ-AVG,"배추, 노랑봄배추(노지), 염절임",채소류,100,16,93.6,1.1,0.1,3.6,-,-,34,1.5,-,26,136,663,-,-,-,-
R000822-ZZ-AVG,"배추, 노랑봄배추(하우스), 생것",채소류,100,12,95.9,1,0,2.6,-,-,28,1.1,-,21,93,11,-,-,-,-
R000823-ZZ-AVG,"배추, 노랑봄배추(하우스), 데친것",채소류,100,15,95.3,1,-,3.4,-,-,75,1.2,-,32,85,12,-,-,-,-
R000824-ZZ-AVG,"배추, 노랑봄배추(하우스), 염절임",채소류,100,15,93.9,1,-,3.4,-,-,28,2.5,-,26,130,530,-,-,-,-
R000825-ZZ-AVG,"배추, 봄동, 생것",채소류,100,23,92.2,2.02,0.17,4.78,2.45,2.7,101,0.87,13,55,200,50,0.34,0.02,0.143,3.08
R000826-ZZ-AVG,"배추, 봄동, 데친것",채소류,100,22,92.8,1.84,0.18,4.54,2.31,2.5,101,0.51,11,50,143,38,0.32,0.02,0.128,3.84
R000827-ZZ-AVG,"배추, 불암 3호(노지), 생것",채소류,100,23,92.7,0.9,0.1,5.7,-,-,60,0.6,-,46,311,14,-,-,-,-
R000828-ZZ-AVG,"배추, 불암 3호(노지), 데친것",채소류,100,33,90,1.3,0.1,8.2,-,-,89,0.5,-,40,112,18,-,-,-,-
R000829-ZZ-AVG,"배추, 불암 3호(노지), 염절임",채소류,100,30,89.6,1.2,0.1,7.4,-,-,58,0.4,-,48,280,397,-,-,-,-
R000830-ZZ-AVG,"배추, 불암 3호(하우스), 생것",채소류,100,13,95.7,1,0.1,2.8,-,-,47,0.1,-,29,215,12,-,-,-,-
R000831-ZZ-AVG,"배추, 불암 3호(하우스), 데친것",채소류,100,18,94.4,1.3,0.1,3.8,-,-,86,0.4,-,35,127,15,-,-,-,-
R000832-ZZ-AVG,"배추, 불암 3호(하우스), 염절임",채소류,100,18,93,1.1,0.1,4,-,-,65,0.2,-,39,339,533,-,-,-,-
R000836-ZZ-AVG,"배추, 유기재배, 생것",채소류,100,14,95.1,1.1,0,3.2,-,-,26,0.6,-,19,279,13,-,-,-,-
R000837-ZZ-AVG,"백모근, 생것",채소류,100,138,62.5,1.1,0.3,34.6,-,-,1,14.9,-,61,417,29,-,-,-,-
R000838-ZZ-AVG,"백모근, 뿌리, 말린것",채소류,100,337,7,9,2,77,-,-,275,29,-,250,1054,115,-,-,-,-
R000839-ZZ-AVG,"백모근, 잎, 말린것",채소류,100,314,7,22,3,66,-,-,624,19,-,376,2709,50,-,-,-,-
R000840-ZZ-AVG,"백합, 뿌리, 생것",채소류,100,118,68.9,3.34,1.52,24.91,0.44,-,9,0.65,25,78,538,2,1.04,0.186,0.603,0.29
R000841-ZZ-AVG,"버드장이, 생것",채소류,100,38,86.8,4,0.1,7.6,-,-,7,0.5,-,118,-,-,-,-,-,-
R000842-ZZ-AVG,"보리, 순, 가루 ",채소류,100,314,4.4,26.6,4.8,58.5,-,-,429,6.4,-,783,1438,282,-,-,-,-
R000843-ZZ-AVG,"보리, 쌀보리, 순, 생것",채소류,100,24,92.6,2,0.3,4.6,-,-,40,1.6,-,62,239,18,-,-,-,-
R000844-ZZ-AVG,"보리, 올보리, 순, 생것",채소류,100,66,80,3.1,1.1,13.9,-,-,24,5.3,-,27,-,-,-,-,-,-
R000845-ZZ-AVG,"보리, 큰알보리, 순, 생것",채소류,100,24,92,2.91,0.27,3.99,0.52,3.1,19,2.22,20,65,211,62,0.57,0.043,0.821,1.79
R000846-ZZ-AVG,"보리, 큰알보리, 순, 동결건조",채소류,100,283,3.2,28.3,3.39,51.96,2.83,41.1,553,17.87,174,430,5374,282,4.7,0.845,4.403,9.24
R000847-ZZ-AVG,"뽕잎, 삶아서 말린것",채소류,100,279,10.3,26.22,2.98,53.22,0,38.4,1348,11.37,308,625,1865,11,3,0.606,7.395,1.2
R000848-ZZ-AVG,"뽕잎, 삶아서 말린것, 삶은것",채소류,100,51,83.8,5.9,0.55,8.92,0.1,8.7,272,1.87,44,100,46,3,0.69,0.045,1.258,0.53
R000849-ZZ-AVG,"뽕잎, 삶은것",채소류,100,48,84.5,4.86,0.53,9,0.41,8.1,204,1.22,43,98,267,6,0.64,0.105,0.719,0.37
R000850-ZZ-AVG,"뽕잎, 생것",채소류,100,65,78.3,6.28,0.5,12.82,2.47,10.7,243,2.99,62,105,688,10,1.06,0.168,1.09,0.45
R000851-ZZ-AVG,"부지갱이(섬쑥부쟁이), 생것",채소류,100,30,90,3.65,0.43,4.9,1.21,4.6,75,0.93,27,72,371,15,0.37,0.038,0.433,0.29
